JRi10,L'Etat des Lieux,1992,JGd2,PU:,SU:,prc,Ctxx,,,,|
JFs10,Cross my Heart,1992,Fansten,PN:,SU:,prc,Ctxx,aw,lc,,|
JGd2,Contempt,1963,Goddard,PU:,SU:,col,"Comd, Dram",aw,"Rome, Italy",M(Georges elerue),|
JGd10,De terre et de sang,1992,Goddard,PN:,STF2,TV,Hist,aw,Italy; T(1200),,|
JGd15,King Lear,1997,Goddard,PU:,SU:,prc,Ctxx,,lc,Er(19xx),|
JoM10,Proof,1992,Moorhouse,PN:Linda House,SFine Line Features,col,"Comd, Dram",aw,lc,R(R),|
JoM15,A Thousand Acres,1997,Moorhouse,Robert Redford,"S:Touchstone, Polygram",col,Dram,aw,"farm, Midwest",B(Jane Smiley) C(Tak Fuijimoto) Seen(17Sep1997),|
JOx10,Thank You and Goodnight,1992,Oxenberg,PN:,SU:,prc,"Comd,Fant,BioP",aw,"NYC, NY",W(Oxenberg),|
JxS10,Piemule,1992,Sevcikova,PN:,SU:,prc,Ctxx,aw,lc,Lang(\Cz),|
JxS12,Jakub,1992,Sevcikova,PN:,SU:,prc,Ctxx,aw,lc,Lang(\Cz),|
KCm10,Bangkok Hilton,1992,K.Cameron,PN:,SU:,TV,Ctxx,aw,"Bangkok, Thailand",,|
KeG10,A Midnight Clear,1992,K.Gordon,PN:,SU:,col,Dram,aw,"Ardennes, Belgium; T(1944)",B(William Wharton),|
KOr1,Newsies,1992,Ortega,PN:,SDisney,col,Musc,aw,"NYC, NY; T(1899)","G(Ortega, Peggy Holmes) M(Alan Menken) C(A.Laszlo) R(PG)",|
KOr2,Hocus Pocus,1993,Ortega,"PN:David Kirschner, Steven Haft",SDisney,col,Comd,aw,"Salem, MA",,R(PG),|
KSt10,Rain Killer,1992,K.Stein,PN:Rodman Flender,SCalfilm,col,Actn,aw,"L.A., CA",,|
KWW8,Chungking Express,1996,Wong,PU:,SU:,col,Noir Comd Romt,aw,Hong Kong,Lang(\Ch inesese),|
KWW10,Happy Together,1997,Wong,PU:,SU:,prc,Ctxx,,"Buenos Aires, Argentina",,|
KWW14,The Big Hit,1998,Wong,PU:,SU:,prc,Actn,,lc,D(Kirk Wong = KWW?),|
LNg10,Gito the Ungrateful,1992,Ngabo,PN:,SU:,prc,Ctxx,aw,lc,,|
LuC10,The Inland Sea,1992,Carra,"PN:Carra, M.Cotnoir",SVoyager,col,Docu,aw,"islands, bay, Japan",W(B(Donald Ritchie)) C(Hiro Narita),|
MkP1,Afraid of the Dark,1992,M.Peploe,PN:,SU:,prc,Horr,aw,"London, England","W(M.Pepoloe, Frederick Seidel)",|
MkG10,Sleepwalker,1992,Garris,PN:,SU:,col,Horr,aw,lc,B(St.King),|
MkG12,The Stand,1994,Garris,PN:,SABC,col,TV,aw,"Boulder, CO; Las Vegas, NV",B(St.King) Cost(28M),|
MkG15,The Shining,1997,Garris,Mark Carliner,ABC,TV,CTxx,aw,,W(B(St.King)) Cost(23M) Le(6h),|
MLs10,House of Cards,1992,Lessac,"PN:Dale Pollock, Lianne Halfon, Wolfgang Glattes","S, SD:Miramax",col,Dram,aw,"Mexico, USA",R(PG13) Nt(First Feature),|
MMz10,The Fall Guy,1992,Mitz,PN:Vittoria Principal,SGlobus,col,Ctxx,aw,lc,M(Jazz) Seen(4Apr1992) Er(Dir(=actor?)title),|
MNv10,Danzon,1992,Novaro,PN:,SU:,prc,Romt,aw,"dance halls, Mexico City, Mexico, veracruz, Mexico",,|
MSw10,Children of the Dark,1992,Switzer,PN:Richard L. OConnor,SU:,col,Dram,aw,lc,,|
MwB10,Cremaster 5,1992,Barney,PU:,SU:,prc,Art Video,,,"M(Jonathan Beppler, Budapest Opera)",|
NcC10,Claire of the Moon,1992,Conn,PN:,SU:,prc,Porn,aw,lc,,|
NJi10,The Waterdance,1992,Jimenez,PN:,SU:,prc,BioP,aw,hospital,CoD(M.Steinberg) R(R),|
NlM10,Pain of Love,1992,Malmros,PN:Per Holst,"SL:\Da, Pathe",col,Romt,aw,lc,,|
NoE1,This is my Life,1992,N.Ephron,Obst,SFox,\DeLuxe,Romt,aw,"Queens, NY; Las Vegas, NE","W(N.Ephron, Delia Ephron) B(Meg Wolitzer)",|
NoE3,Sleepless in Seattle,1993,N.Ephron,"PN:Obst, Mary Foster",STristar,col,Romt,aw,"New York, NY; Seattle, WA; Baltimore, MD; airport, Chicago, IL; Empire State building, NYC, NY","Seen(1Oct11993) W(Jeff Arch, N.Ephron, D.S.Ward; AAN) M(Lo. Ary.; AAN) C(Nykvist)",|
NoE5,The Women,1995,N.Ephron,PN:Kathryn Galan,SMewLine,col,Romt,aw,,,|
NoE8,You've got Mail,1998,N.Ephron,PU:,Warners,col,Romt Comd,,"Upper West Side, NYC, NY",,|
NSv10,Household Saints,1992,Svoboda,PN:,SU:,prc,Ctxx,aw,"NYC, NY",,|
PCh10,Hear My Song,1992,Chelsom,PN:,SU:,prc,Musc,aw,"music hall, Liverpool, England",W(Adrian Dunbar),|
PCh15,The Mighty,1998,Chelsom,PU:,SU:,col,Dram,,lc,B(Rodman Philbrick),|
PmR1,Miss Beatty's Children,1992,Rooks,PN:,SNational Film Development Corp.,col,Dram,aw,"mission, South India; TY(1936)",M(Zakir Hussain),|
QTa1,Reservoir Dogs,1992,Tarantino,PN:,Miramax,col,CnR,aw,warehouse,W(Tarantino),|
QTa3,Pulp Fiction,1994,Tarantino,PN:,SMiramax,col,"Actn,Comd",aw,"L.A., CA",,|
QTa6,Jackie Brown,1997,Tarantino,PU:,SU:,col,Dram,aw,"L.A., CA",B(Elmore Leonard),|
RBx10,Man Bites Dog,1992,Belvaux,PN:,SU:,bnw,Actn,aw,lc,R(NC17) C(Andre Bonzel) Lang(\Fr),|
RiS10,"You, Me, and Marley",1992,Spence,PN:Chris Parr,SBBC,col,"Docu, Dram",aw,Northen Ireland,W(Graham Reid),|
RlE10,Universal Soldier,1992,Emmerich,PN:,STristar,col,Actn,aw,lc,R(R),|
RlE20,Independence Day,1996,Emmerich, Dean Devlin,Fox,col,ScFi,aw,"NYC, NY; Washington, DC; L.A., CA; area 51, desert, NV","W(Dean Devlin, Roland Emmerich ) Cost(71M) Seen(22Nov1996)",|
RlE22,Godzilla,1998,Emmerich,PU:,SU:,prc,ScFi,,"South Pacific; NYC, NY",W(Dean Devlin) R(PG13) Inc(136M),|
RMg5,Kumu Hula,1992,Mugge,,SU:,col,"Musc,Docu",aw,,Er(19xx),|
RMc10,Night Eyes II,1992,R.MacDonald,PN:Ashok Amitrai,SU:,col,CnR,aw,"LA, CA",R(R),|
RMg10,Deep Blues,1992,Mugge,PN:Dave A. Stewart,SU:,col,"Musc,Docu",aw,South,W(Robert Palmer),|
RMg15,The Kingdom of Zydeco,1994,Mugge,Mugge,SMug Shot,col,"Musc,Docu",aw,"csd, LA",,|
RMg17,Gather at the River,1994,Mugge,Mugge,SMug Shot,col,"Musc,Docu",aw,KY,M(Bluegrass),|
RrB10,Johnny Stecchino,1992,Benigni,PN:,SU:,prc,Comd,aw,"Palermo, Sicily, Italy",,|
RrB16,The Monster,1996,Benigni,PU:,SL:\It,col,Comd,aw,,"W(,Roberto Benigni)",|
RrB18,La Vita e Bella,1998,Benigni,PU:,SD:Miramax,col,Dram,AA foreign,"Tuscany, Italy; T(1944)",Alt(Life is Beautiful) Cost(10M) Inc(98M),|
RSd10,The Linguini Incident,1992,Shepard,PN:,SU:,prc,Ctxx,aw,lc,,|
RTa5,Freddy's Dead: The Final Nightmare,1992,Talalay,PN:,SU:,col,Horr,,lc,Er(199x),|
RTa10,Ghost in the Machine,1994,Talalay,PN:Paul Schiff,SFox,col,"Horr,ScFi",,lc,R(R),|
RTa14,Tank Girl,1995,Talalay,PU:,SU:,col,CTxx,aw,,,|
RTa15,The Ghost and the Darkness,1996,Talalay,PU:,SU:,prc,Advt,,Africa; T(1850),Er(D),|
RtM10,Requiem pour un Beau Sanscoeur,1992,Morin,PN:,SU:,prc,Ctxx,aw,lc,Lang(\Fr),|
SGy5,Paris Trout,1992,Gyllenhaal,PN:,SU:,col,Dram,aw,,Er(19xx),|
SGy10,Waterland,1992,Gyllenhaal,PN:,SU:,col,Dram,aw,"Pittsburgh, PA; T(1974); Fens, East Anglia, England; T(1944)",B(Graham Swift),|
SGy12,A Dangerous Woman,1993,Gyllenhaal,PN:,SU:,col,Dram,aw,"csd, AZ",W(Naomi Foner),|
SHD10,Only The Brave,1992,Dolz,PN:Kees Ryninks,SScorpio,col,Ducu,aw,"bullrings, Valencia, Spain",Lang(\Sp),|
SoW1,Acting It Out,1992,Wartman,PN:,SU:,col,Comd,aw,"autobahn, Munich, Germany",Lang(\Ge),|
SvA10,South Central,1992,S.Anderson,"PN:Oliver Stone, Janet Yang, William B. Sreakley",SU:,prc,Dram,aw,"L.A., CA",,|
SvN10,The Ox,1992,Nykvist,PN:,SU:,prc,Ctxx,aw,lc,,|
THk10,None but the Lonely,1992,Hanks,PN:,SU:,prc,Ctxx,aw,lc,,|
THk14,That Thing You Do!,1996,Hanks,PU:,SU:,col,"Musc, Romt, Comd",aw,town T(1964) Le(Short),|
THk16,From the Earth to the Moon:,1998,Hanks,Hanks,HBO,TV series,Ctxx,,lc,"W(Steven Katz,,,,, Tom Hanks) CoD(Lily Fini Zanuck, Sally Field)",|
TDe1,Caged Heat,1974,T.Demme,PU:,SU:,prc,Ctxx,,lc,,|
TDe10,The Bet,1992,T.Demme,PN:,SU:,col,"Cond, Dram",aw,"deli, Brooklyn",Le(22min),|
TDe14,Beautiful Girls,1996,T.Demme,PU:,SU:,col,Comd,aw,,W(Scott Rosenberg),|
TDe18,Monument Ave.,1998,T.Demme,PU:,SU:,prc,CnR,,"Charleston, Boston, MA",R(R),|
TDe19,Life,1999,T.Demme,PU:,SU:,prc,Comd,,"prison, MS",,|
ToK1,Swoon,1992,Kalin,PN:,SU:,col,"CnR,BioP",,T(1924),,|
TRb10,Bob Roberts,1992,T.Robbins,PN:,SU:,col,Dram,aw,; T(1990),"M(T.Robbins, David Robbins)",|
TRb16,Dead Man Walking,1996,T.Robbins,PU:,SU:,col,BioP,aw,,M(Nusrath Fateh Ali Khan) Seen(17Jun1999),|
TVe10,Denial,1992,Verheul,PN:,SU:,prc,Ctxx,aw,lc,,|
VAr10,Lovers,1992,Aranda,PN:,SU:,prc,Romt,aw,Spain; T(1950),,|
VCy5,Daisies,1992,Chytilova,PN:,SU:,colc,Ctxx,aw,,Er(19xx),|
VCy10,The Inheritance,1992,Chytilova,PN:Jiri Jezek,SSpace Film,colc,Comd,aw,"village, Moravia; T(1989)",Alt(Dedictvi aneb Kurvahosigutntag) Lang(\Cz),|
VyK10,Adam's Rib,1992,Krishtofovich,PN:,SU:,prc,Dram,aw,Russia; T(1990),Lang(\Ru),|
VyK13,Burnt by the Sun,1996,Krishtofovich,PU:,SU:,prc,Dram,,,"C(Vilen Kaluta) Er(D, 19xx)",|
VyK15,A Friend of the Deceased,1998,Krishtofovich,PU:,SU:,prc,Dram,,Ukraine,W(Andreii Kourkov) C(Vilen Kaluta) Lang(\Ru),|
xNa10,Killer Instinct,1992,Napier,PN:,SParamount,\FotoKem,Horr,aw,"L.A., CA; Venice, CA",,|
VGl10,Der Brocken,1992,Glowna,PN:,"SEcco fIlm, NDR",col,Comd,aw,"farm, island, Germany; T(1990)",,|
YiA10,Passages,1992,Arslan,PN:,SU:,prc,Ctxx,aw,lc,Lang(\Ge),|
Z92,title,film@1992,UnYear92,prds,st.,p,ct,aw,lc,nt,|
Z9210,Beyond Justice,1992,UnYear92,PN:,SU:,col,Ctxx,aw,"prepschool, England; Marrakesh, Morrocco",,|
Z9220,Shining Through,1992,UnYear92,PN:,SHBO,col,"Dram,Advt",aw,"Washington, DC; Berlin, Germany; T(1943)",,|
Z9230,L.A. Goddess,1992,UnYear92,PN:,SU:,prc,"Dram,Porn",aw,"Hollywood, CA",,|
Z9240,Frankenstein Conquers the World,1992,UnYear92,PN:,SL:Japan,col,Fant,aw,lc,,|
Z9250,In the Line of Duty: Siege at Marion,1992,UnYear92,PN:Patchett Kaufman,SU:,col,"Docu, Dram",aw,"farm, Marion, UT; T(1988)",,|
Z9260,School Ties,1992,UnYear92,PU:,SU:,col,CTxx,aw,,,|
Z9270,The Rating Game,1992,UnYear92,PU:,SU:,prc,Ctxx,,lc,Er(19xx),|
ADy1,Life according to Agfa,1993,Dayan,PU:,SU:,prc,Ctxx,,,,|
ADy5,The Electric Blanket,1995,Dayan,PU:,SU:,prc,Ctxx,,lc,,|
Ady3,The 92 Minutes of Mr.~Baum,1998,Dayan,PU:,SU:,prc,"Comd, Dram",,Israel,,|
ARw10,In the Soup,1993,Rockwell,PN:,SU:,prc,Ctxx,aw,lc,,|
ARw12,Somebody to Love,1994 Rockwell,PN:,SU:,prc,Romt,aw,lc,,|
ABo10,And God Spoke,1993,Borman,"PN:Mark Borman, Richard Raddon",SBrookwwod,col,Comd,aw,"Hollywwod, CA",,|
AGs10,Visions of Ligh The Art of Cinematography,1993,Glassman,PN:,"SAmerican Film Institute, Kino",prc,Docu,aw,lc,"CoD(Todd McCarthy, Stuart Samuels)",|
AnL5,Pushing Heads,1992,A.Lee,PU:,SU:,col,Dram,aw,"Taiwan; Westchester county, NY",Er(199x) W(A.Lee),"|,"
AnL10,The Wedding Banquet,1993,A.Lee,PN:,SL:\GB,col,Comd,AAN,"N.Y., NY",Cost(1M),|
AnL12,The Ice Storm,1997,A Lee,PU:,SU:,col,Dram,aw,"New Canaan, CN; T(1973)",B(Rick Moody),|
ANo,Sidekicks,1993,Norris,PN:,STriumph,prc,Ctxx,aw,lc,,|
AoS10,Knocks at my Door,1993,Saderman,PU:,SL:Venezuela,prc,Dram,,,,|
ASh10,The Crush,1993,A.Shapiro,PN:,SU:,prc,Dram,aw,lc,W(A.Shapiro),|
AuG10,Alc\'a,1993,Grimaldi,PN:,SU:,prc,Dram,aw,"Sicily, Italy; T(1932)",Lang(\It),|
BeM10,"Batman, Mask of The Phantasm",1993,Melniker,PN:Michael Uslan,SWarners,col,Cart,,lc,"Nt(no director listed, melniker; P)",|
BJR10,My Life,1993,Rubin,PN:,SColumbia,col,Dram,aw,"L.A., CA",,|
BLu10,"Jam\'on, Jam\'on",1993,Luna,PN:,SU:,prc,Romt,aw,"csd, Spain",,|
BLu12,Macho,1994,Luna,PU:,SU:,prc,Comd,gross,lc,Er(T=Alt),|
CaS10,Knight Moves,1993,Schenkel,PN:,SRepublic,prc,Actn,aw,lc,R(R) W(Brad Mirman),|
CCa10,Flight of the Innocent,1993,Carlei,PN:,SU:,col,Dram,aw,"Calabria, Italy; Rome. Italu","Lang(\It) W(Carlei, Gualtiero Rosella)",|
CCa13,Fluke,1993,Carlei,PN:,SU:,col,Ctxx,aw,lc,,|
CDv10,Noir et Blanc,1993,Devers,PN:,SU:,prc,Romt,aw,lc,Lang(\Fr),|
ChK10,"Farewell, my Concubine",1993,Kaige,PN:,SL:\HK,col,"Dram,Romt","GP, AAN","Bejing, China T(1920-1977)",Le(2.5h) Lang(\Ch) C(; AAN) Seen(10Jan1994),|
ChK13,Temptress Moon,1997,Kaige,PU:,Miramax,col,Dram,aw,,,|
CNu10,House of Angels,1993,Nutley,PN:,SU:,prc,Comd,aw,"csd, Sweden",Lang(\Sw),|
DAf10,Mannen Pa Balkongen,1993,Afredson,Hans Lonnerheden,SVictoriafilm,col,CnR,aw,"Stockholm, Sewden",Lang(\Sw) Alt(Man on the Balcony),|
DAP10,The War Room,1993,Pennebaker,PN:Chris Hegedus,SU:,col,Docu,aw,lc,,|
DGl10,Frosh,1993,Geller,PN:,SU:,prc,Docu,aw,"Stanford University, Stanford, CA",CoD(Dayna Goldfine),|
DME10,The Sandlot,1993,Evans,"PN:delaTorre, Gilmore",SFox,col,Comd,aw,"base ball fields, town, USA",Seen(3Jul1993) R(PG),|
DmS1,Kalifornia,1993,Sena,PN:,SPolygram,col,Horr,aw,lc,R(R),|
DRz10,Carences,1993,Rozenberg,PN:Jean-Stephanie Michaux,STokuma SL:Japan,col,Dram Docu,aw,France; T(1984),Lang(\Fr) Alt(Deficiency),|
DZo10,We're Back! A Dinosaur Story,1993,D.Zondag,PN:Spielberg?,SU:,col,Cart,aw,"NYC, NY","CoD(Ralph Zondag, Phil Nibbelink, Simon Wells)",|
EMF10,Amos and Andrew,1993,Frye,PN:,SU:,col,Dram,aw,"island, South",,|
FrD10,RoboCop 3,1993,Dekker,PN:,SU:,prc,Ctxx,aw,lc,,|
GGM10,Johnny Cien Pesos,1993,Marino,PN:Abdullah Ommidvar,SCatalina,col,"Susp, Docu",aw,"Santiago, Chile; T(1990)",Lang(\Sp),|
GgW10,Romper Stomper,1993,G.Wright,PN:,SU:,col,Actn,aw,"Melbourne, Australia",R(NC17) W(G.Wright),|
GnA10,Il Ladro di Bambini,1993,Amelio,PN:,SU:,prc,Dram,aw,"Milano, Italy; Sicily, Italy",Lang(\It) Alt(Stolen Children; USA),|
GnA13,x,1996,Amelio,PU:,SU:,prc,Dram,,Albania,Lang(\It) Er(T),|
GoM10,Tito and Me,1993,Markovic,PN:,SU:,prc,BioP,aw,"Belgrade, \Yu; T(1954)",,|
GyS10,Like a Bride,1993,Schyfter,PU:,SU:,prc,Dram,,"Mexico City, Mexico","Lang(\Sp, Ladino)",|
HGe10,Sankofa,1993,Gerima,PN:,SU:,prc,Ctxx,aw,West Africa,W(Gerima),|
IHo10,Happily Ever After,1993,Howley,PN:,SU:,prc,Cart,aw,lc,,|
ILf10,Man's Best Friend,1993,Lafia,PN:,SU:,prc,Comd,aw,lc,,|
IMd10,Ethan Frome,1993,Madden,PN:,SU:,prc,Dram,aw,"csd, England; T(1900)",B(Edith Wharton),|
IMd12,Golden Gate,1993,Madden,PN:,SU:,prc,Dram,aw,"S.F., CA; T(1955)",W(David Henry Hwang),|
IMd16,Mrs. Brown,1997,Madden,PU:,SU:,col,Hist,aw,,,|
IMd17,Shakespeare in Love,1998,Madden,PN:Harvey Weinstein,SMiramax,col,"BioP, Romt, Musc","AAN, AAN dir","London, U.K.; T(1593)","W(Marc Norman, Tom Stoppard; AA) V(; AAN)C(; AAN) M(; AAN) Note(started at SUniversal)",|
INS10,The Boys of St.Vincent,1993,J.N.Smith,PN:,SCBC,col,Dram,aw,"orphanage, St.John, NewFoundland; T(1975, 1990)",Le(3h),|
JBo10,Barjo,1993,Boivin,PN:,SU:,prc,Ctxx,aw,lc,Lang(\Fr),|
JHp10,Benefit of the Doubt,1993,Heap,PN:,SU:,col,Susp,aw,AZ,R(R),|
JPB10,Quartier Mozart,1993,Bekolo,PN:,SU:,prc,Ctxx,aw,lc,,|
JTa10,Oedipus Rex,1993,Taymor,PN:,SU:,prc,Ctxx,aw,lc,,|
JTu10,Cool Runnings,1993,Turtletaub,PN:Dawn Steele,SU:,col,Comd,,Jamaica,Er(19xx),|
JuM10,"Women -- for America, for the World",1993,Montell,PN:,SFantasy,prc,Docu,AAN,lc,"Er(19yy, D=Vivienne VerdonRoe, Debra Chasnoff,Robert Hillman; St)",|
KTI10,Sop'Yongyi,1993,Im,PN:,STae Hung,col,Dram,Bell,"csd, Korea",W(Kim Myong-Gon) B(Lee Chung-Joon),|
LeB10,Bad Behaviour,1993,Blair,PN:,SU:,col,Romt,aw,"Kentish town, London, England",,|
LLl10,Sniper,1993,Llosa,PN:,SU:,prc,Actn,aw,Panama,,|
JLy10,Boxing Helena,1993,J.Lynch,PN:,SU:,prc,"Horr,Porn",aw,lc,R(R) Seen(29Jan1995),|
KHt1,Picture Bride,1994,Hatta,"P:Diane Mei Lin Mark, Lisa Onodera",Cecile; SD:Miramax,"col, bnw","Hist, Dram",,"Japan; canefields, csd, HI; T(1918)","W(Hatta, Mari Hatta) Note(sponsor NAATA) V(www.NAATA.org) Seen(11Sep1998)",|
KHt5,Floating World,1998,Hatta,PU:,SU:,prc,Ctxx,,lc,B(Cynthia Kadohata),|
LlH10,Just Another Girl on the I.R.T.,1993,L.Harris,PN:,SU:,prc,Dram,aw,lc,,|
MaH10,Jack the Bear,1993,Herskovitz,PN:,SU:,col,Ctxx,aw,"Oakland, CA",,|
MaH15,Dangerous Beauty,1998,Herskovitz,PU:,SU:,col,Ctxx,,"Venice, Italy; T(1500)",W(Jeannine Dominy) R(R),|
MBb10,Demolition Man,1993,Brambilla,PN:,SU:,col,Actn,aw,"L.A., CA; T(1996, 2032)",,|
MBb15,Excess Baggage,1997,Brambilla,PU:,SU:,col,Susp,aw,,,|
MBi10,Indian Summer,1993,Binder,PN:,SU:,col,Romt,aw,lc,,|
MWid10,Butterfly Kiss,1993,Winterbottom,PU:,SU:,prc,Ctxx,,,,|
MWid12,Jude,1995,Winterbottom,PU:,SU:,col,CTxx,aw,,,|
MWid15,Welcome to Sarajevo,1997,Winterbottom,PU:,SU:,col,Docu,aw,Yugoslavia,B(Michael Nicholson),|
MWid16,Go Now,1998,Winterbottom,PU:,SU:,prc,Dram,,lc,,|
MkS10,A Far Off Place,1993,Salomon,PN:,SDisney,col,Advt,aw,"Kalahari desert, Africa",B(Laurens vanderPost),|
MlG1,The Man Without a Face,1993,M.Gibson,PN:Bruce Davey,SWarners,col,Dram,aw,lc,R(PG-13),|
MlG5,Braveheart,1995,M.Gibson,PU:,SU:,col,Advt,AA AA dir,Scotland,Seen(1996),|
MLz10,Defending Our Lives,1993,M.Lazarus,PN:,SU:,col,Docu,aw,lc,CoD(Renner Wunderlich),|
MRg10,Ethnic Notions,1993,Riggs,PN:,SFantasy,prc,Docu,Emmy,lc,,|
MSb10,"Bodies, Rest, and Motion",1993,M.Steinberg,"PN:Eric Stoltz,",SFine Line,col,"Romt, Comd",aw,"Enfield, desert, SouthWest",R(R),|
MoF1,Bopha!,1993,Freeman,PN:Lawrence Taubman,SParamount,col,Dram,,"Moroka, South Africa",B(Percy Mtwa),|
MoF3,Hurricane Streets,1997,Freeman,PU:,SU:,prc,Ctxx,Sundance dir,lc,,|
MoF6,Desert Blue,1998,Freeman,PU:,SU:,prc,Dram,,"small town, NV",W(Freeman) Cost(5M),|
MtM10,The Opposite Sex and How to Live with Them,1993,Meshekoff,PN:,SU:,prc,Comd,aw,lc,,|
NkM10,Bank Robber,1993,Mead,PN:Lila Cazes,SIRS Media,col,CnR,aw,"hotel, L.A., CA",R(NC17),|
OIo10,La Chasse Aux Papillons,1993,Iosseliani,PN:,SU:,prc,Comd,aw,"village, France",Lang(\Fr),|
OvH10,Rules of the Road,1993,Herbrich,Herbrich,SHerbrich,vol,Docu,aw,"roads, Ireland",W(Herbrich),|
OYa10,Famine-33,1993,Yanchuk,PN:,SU:,prc,Docu,aw,"Ubraine, USSR; T(1933)",Lang(Ukrainian)),|
PDq10,Black Rider,1993,Danquart,PN:,SU:,prc,Ctxx,AA,lc,Le(short),|
PeJ10,Dead Alive,1993,Peter.Jackson,PN:,SU:,prc,"Comd,Horr",aw,NewZealand,,|
PhG10,The Birth of Love,1993,Garrel,PU:,SU:,prc,Romt,,Gulf War; T(1990),Lang(Fr),|
PhH10,The Music of Chance,1993,P.Haas,PN:,SU:,prc,Dram,aw,"csd, USA",B(Paul Auster) R(R),|
PhH13,Angels and Insects,1996,P.Haas,PU:,SU:,col,Romt Comd,aw,,B(A.S. Byatt),|
PYu10,Damned in the U.S.A.,1993,Yule,Yule,SU:,col,Ducu,aw,"exhibts, USA",,|
RbH8,The Hitcher,1993,Harmon,PN:,SU:,col,Actn,aw,lc,R(R)Er(19xx),|
RbH10,Nowhere to Run,1993,Harmon,"PN:Craig Baumgarten, Gary Adelson",SColumbia,col,"Actn,Romt",aw,lc,R(R),|
RcW10,It's all True: Based on An Unfinished Film By Orson Welles,1993,R.Wilson,PN:,SU:,prc,Docu,aw,T(1942),,|
RdN10,A Bronx Tale,1993,deNiro,PN:,SU:,prc,Dram,aw,"E187st, Bronx, NY; T(1960) R(R)",,|
RgW10,Road Scholar,1993,Weisberg,PN:,SU:,prc,Ctxx,aw,West,,|
RHk10,Dead On,1993,Hemecker,PN:Stu Segall,SOrion,col,Susp,aw,lc,,|
RkK10,Quick,1993,R.King,PN:David Lancaster,SHBO,col,CnR,aw,"L.A., CA",,|
RkK15,Blast from the Past,1999,R.King,PU:,New Line,col,Comd,,"T(1962, 1998)","Er(D,199x) Seen(22May1999)",|
RlK10,For a Lost Soldier,1993,Kerbosch,PN:,SU:,prc,Ctxx,aw,lc,Lang(\Du),|
RLn10,High Lonesome,1993,Liebling,PN:,SU:,prc,Musc,aw,Appalachia,,|
RmF8,Leprechaun,1993,Flender,PN:,SU:,prc,Horr,aw,lc,Er(D),|
RmF10,Leprechaun 2,1994,Flender,PN:,SU:,prc,Horr,aw,CA,,|
RyM10,The Wonderful Horrible Life of Leni Riefenstahl,1993,Muller,PN:,SU:,prc,BioP,aw,lc,,|
RRz10,Mariachi,1993,Rodriguez,PN:,SColumbia,prc,CnR,aw,"border town, Mexico",cost(7K) W(Rodriguez) Lang(\Sp),|
RRz13,From Dusk to Dawn,1996,Rodriguez,PU:,SU:,col,CTxx,aw,,,|
RSv10,Lifepod,1993,R.Silver,PN:,SFox,TV,ScFi,aw,lc,,|
RWg10,Indochine,1993,Wargnier,"PN:Eric Heurant, Jeanne Adadre",SU:,"Dram, Romt",col,AA,Vietnam; T(1950),Lang(\Fr) R(PG13) Seen(6Apr1993),|
SHk10,The Three Musketeers,1993,Herek,PN:,SU:,col,Advt,aw,lc W(David Loughery),B(Alexandre Dumas),|
SHk15,Holy Man,1998,Herek,PU:,SU:,prc,Comd,,lc,,|
SiW8,Free Willy,1993,Wincer,"PN:R.Donner, Arnon Milchan, Lauren Shuler-Donner, Harry Tugend",Warners,col,Adct,aw,"coast, OR",CoD(Jim Van Wyck) Inc(78M),|
SiW10,Lightning Jack,1994,Wincer,P.Hogan,SU:,col,West,aw,lc,W(P.Hogan) R(PG13),|
SiW12,Free Willy II,1996,Wincer,PU:,Warners,col,Advt,aw,,Er(D),|
SiW13,The Phantom,1996,Wincer,"P:, Alan Ladd~jr.",SParamount,prc,Advt,,"NYC, NY T(1936)",Seen(15SEp1996),|
SiW14,Free Willy III: The Rescue,1997,Wincer,PU:,Warners,col,Advt,aw,,Er(D),|
SPt10,Orlando,1993,D.Potter,PN:,SU:,col,"Romt,Porn",aw,"England, Asia; T(1650,1750,1850,1950)",B(Virgina Woolf) W(D.Potter) V(; AAN),|
SSo10,The Adventures of Huck Finn,1993,Sommers,PN:,SDisney,prc,Advt,aw,lc,W(Sommers),|
SSo13,The Jungle Book,1995,Sommers,PU:,SU:,prc,Advt,,lc,B(Rudyard Kipling) Er(199x),|
SSo15,Deep Rising,1998,Sommers,PN:,SU:,prc,Horr,aw,ship,W(Sommers) R(R),|
SSo16,The Mummy,1999,Sommers,PU:,SU:,prc,Advt,-,"Egypt; T(1290BC, 1920)",,|
SSu5,Kid's in the Hall,1993,Surjik,PN:,SU:,prc,Comd,aw,,Er(19xx),|
SSu10,Wayne's World 2,1993,Surjik,PN:,SU:,prc,Comd,aw,"TV studio, Aurora, IL",PG(13),|
StZ1,Searching for Bobbie Fisher,1993,Zaillian,PN:,SParamount,prc,BioP,aw,"park, Washington Square, NYC, NY",W(Zaillian) B(Fred Waitzkin) C(: AAN) R(PG),|
StZ5,A Civil Action,1998,Zaillian,PU:,Paramount,col,"Docu, Dram",,"Woburn, town, MA",C(; AAN) Seen(1Jun1999),|
SvB04,The Little Giants,1993,Brill,PN:,SDisney,col,Comd,aw,lc,"R(PG) Er(D,19xx)",|
SvB05,The Mighty Ducks,1994,Brill,PN:,SDisney,col,Comd,aw,lc,"R(PG) W(Brill) Er(D,19xx)",|
SvB10,Heavyweights,1995,Brill,PN:,SDisney,col,Comd,aw,lc,"R(PG) W(Judd Apatow, Brill)",|
